# Caducidad por categoria de Mercadona, contada desde el dia de compra y con el envase cerrado.
# Aproximada: sirve para avisar, no es la fecha del envase.
#
# categoria  -> nombre de la categoria de 2º nivel, o "categoria/subcategoria" para afinar una sola.
#               La subcategoria gana a la categoria.
# dias       -> -1 = no caduca (no alimento, o dura tanto que no merece aviso).
# ubicacion  -> Nevera | Despensa | Congelador | Hogar
#
# Solo se aplica al CREAR el producto en Grocy. Cambiar un valor aqui no toca los productos que ya
# existen: esos se corrigen en Grocy (ficha del producto > "Días de consumo preferente por defecto").
#
# categoria	dias	ubicacion
Aceite, vinagre y sal	-1	Despensa
Aceitunas y encurtidos	365	Despensa
Acondicionador y mascarilla	-1	Hogar
Afeitado y cuidado para hombre	-1	Hogar
Agua	365	Despensa
Alimentación infantil	180	Despensa
Arreglos	7	Nevera
Arroz y pasta	365	Congelador
Arroz	-1	Despensa
Atún y otras conservas de pescado	-1	Despensa
Aves y jamón cocido	10	Nevera
Aves y pollo	3	Nevera
Azúcar y edulcorante	-1	Despensa
Bacón y salchichas	21	Nevera
Bases de maquillaje y corrector	-1	Hogar
Berberechos y mejillones	-1	Despensa
Biberón y chupete	-1	Hogar
Bífidus	21	Nevera
Bollería de horno	3	Despensa
Bollería envasada	60	Despensa
Cacao soluble y chocolate a la taza	365	Despensa
Café cápsula y monodosis	365	Despensa
Café molido y en grano	365	Despensa
Café soluble y otras bebidas	365	Despensa
Carne	3	Nevera
Carne congelada	180	Congelador
Cerdo	3	Nevera
Cereales	180	Despensa
Cerveza sin alcohol	180	Despensa
Cerveza	180	Despensa
Champú	-1	Hogar
Chicles y caramelos	365	Despensa
Chocolate	180	Despensa
Chopped y mortadela	15	Nevera
Coloración cabello	-1	Hogar
Colorete y polvos	-1	Hogar
Conejo y cordero	3	Nevera
Conservas de verdura y frutas	-1	Despensa
Cuidado corporal	-1	Hogar
Cuidado e higiene facial	-1	Hogar
Depilación	-1	Hogar
Desodorante	-1	Hogar
Detergente y suavizante ropa	-1	Hogar
Embutido curado	60	Despensa
Embutido	15	Nevera
Empanados y elaborados	5	Nevera
Empanados y elaborados/Empanados y rebozados congelados	180	Congelador
Especias	-1	Despensa
Estropajo, bayeta y guantes	-1	Hogar
Fijación cabello	-1	Hogar
Fitoterapia	-1	Hogar
Flan y natillas	20	Nevera
Fruta variada	180	Despensa
Fruta y verdura	7	Nevera
Fruta y verdura/Patatas	21	Despensa
Fruta	7	Despensa
Fruta/Cítricos	14	Despensa
Fruta/Manzana y pera	14	Nevera
Fruta/Plátano y uva	5	Despensa
Frutos secos y fruta desecada	180	Despensa
Galletas	180	Despensa
Gato	-1	Hogar
Gazpacho y cremas	10	Nevera
Gel y jabón de manos	-1	Hogar
Gelatina y otros postres	15	Nevera
Golosinas	365	Despensa
Hamburguesas y picadas	3	Nevera
Harina y preparado repostería	180	Despensa
Harina y preparado repostería/Masas	15	Nevera
Helados	365	Congelador
Hielo	-1	Congelador
Higiene bucal	-1	Hogar
Higiene íntima	-1	Hogar
Higiene y cuidado	-1	Hogar
Huevos	21	Nevera
